alumni_id,full_name,first_name,last_name,graduation_year,degree_earned,major_academic_program,current_company,job_title,email_address,phone_number,brochure_feature_consent,brochure_feature_consent_encoded,match_score,match_percentage
ALU0933,Swathi Patel,Swathi,Patel,2016,B.Tech,Computer Science and Engineering,Microsoft,Machine Learning Engineer,swathi.patel933@gmail.com,+91 7547762075,Yes,1,0.8875,88.75
ALU0883,Nandini Singh,Nandini,Singh,2019,B.Tech,Computer Science and Engineering,PwC,Machine Learning Engineer,nandini.singh883@proton.me,+91 7541190125,No,0,0.8875,88.75
ALU0534,Rahul Naidu,Rahul,Naidu,2022,B.Tech,Computer Engineering,Google,Machine Learning Engineer,rahul.naidu534@gmail.com,+91 7050766424,Yes,1,0.8557692307692307,85.58
ALU0375,Anusha Mehta,Anusha,Mehta,2024,B.Tech,Mechanical Engineering,Tech Mahindra,Machine Learning Engineer,anusha.mehta375@outlook.com,+91 7676474018,No,0,0.8291666666666666,82.92
ALU0749,Rohit Gupta,Rohit,Gupta,2017,B.Tech,Computer Engineering,KPMG,Machine Learning Engineer,rohit.gupta749@yahoo.com,+91 9035430829,No,0,0.8182692307692307,81.83
ALU0152,Lakshmi Kumar,Lakshmi,Kumar,2021,B.Tech,Civil Engineering,Wipro,Machine Learning Engineer,lakshmi.kumar152@proton.me,+91 9462732890,No,0,0.7964285714285714,79.64
ALU0747,Deepak Singh,Deepak,Singh,2023,MBA,Computer Science and Engineering,Walmart Global Tech,Machine Learning Engineer,deepak.singh747@yahoo.com,+91 7635415559,No,0,0.7749999999999999,77.5
ALU0153,Anusha Shetty,Anusha,Shetty,2019,B.Tech,Electrical and Electronics Engineering,TCS,Machine Learning Engineer,anusha.shetty153@outlook.com,+91 9654827789,No,0,0.7589285714285714,75.89
ALU0248,Aarav Singh,Aarav,Singh,2024,B.Tech,Computer Science and Engineering,Amazon,Systems Engineer,aarav.singh248@gmail.com,+91 9324279536,Yes,1,0.7576219512195121,75.76
ALU0997,Madhav Verma,Madhav,Verma,2024,B.Tech,Computer Science and Engineering,Cognizant,Systems Engineer,madhav.verma997@proton.me,+91 8273950560,Yes,1,0.7576219512195121,75.76
ALU0066,Ashwin Bhat,Ashwin,Bhat,2017,B.Tech,Artificial Intelligence and Machine Learning,Microsoft,Machine Learning Engineer,ashwin.bhat66@outlook.com,+91 8952918745,No,0,0.7532894736842106,75.33
ALU0160,Naveen Bhat,Naveen,Bhat,2022,B.Tech,Computer Science and Engineering,Oracle,Cloud Engineer,naveen.bhat160@gmail.com,+91 9768821397,Yes,1,0.7506410256410256,75.06
ALU0450,Anusha Bhat,Anusha,Bhat,2016,B.Tech,Electronics and Communication Engineering,TCS,Machine Learning Engineer,anusha.bhat450@yahoo.com,+91 9721554031,No,0,0.7436643835616439,74.37
ALU0010,Neha Mehta,Neha,Mehta,2019,B.Tech,Electronics and Communication Engineering,Cognizant Technology Solutions,Machine Learning Engineer,neha.mehta10@outlook.com,+91 9815087637,No,0,0.7436643835616439,74.37
ALU0742,Meera Singh,Meera,Singh,2016,B.Tech,Electronics and Communication Engineering,KPMG,Machine Learning Engineer,meera.singh742@proton.me,+91 9485517370,No,0,0.7436643835616439,74.37
ALU0009,Priya Iyer,Priya,Iyer,2025,MBA,Computer Engineering,Deloitte,Machine Learning Engineer,priya.iyer9@gmail.com,+91 7983753977,Yes,1,0.7432692307692308,74.33
ALU0967,Rakesh Shetty,Rakesh,Shetty,2025,M.Tech,Computer Engineering,Tech Mahindra,Machine Learning Engineer,rakesh.shetty967@gmail.com,+91 9437726492,Yes,1,0.7432692307692308,74.33
ALU0641,Keerthi Mishra,Keerthi,Mishra,2024,B.Tech,Information Technology,Capgemini,Machine Learning Engineer,keerthi.mishra641@yahoo.com,+91 9888249353,No,0,0.7402777777777778,74.03
ALU0221,Anusha Mishra,Anusha,Mishra,2019,M.Tech,Computer Science and Engineering,Oracle,Machine Learning Engineer,anusha.mishra221@gmail.com,+91 8789026838,No,0,0.7374999999999999,73.75
ALU0779,Sai Joshi,Sai,Joshi,2019,MCA,Computer Science and Engineering,Wipro,Machine Learning Engineer,sai.joshi779@proton.me,+91 7497024805,No,0,0.7374999999999999,73.75
ALU0972,Rohit Kumar,Rohit,Kumar,2020,MCA,Computer Science and Engineering,IBM,Machine Learning Engineer,rohit.kumar972@proton.me,+91 8679784362,Yes,1,0.7374999999999999,73.75
ALU0335,Sai Chowdhury,Sai,Chowdhury,2016,MCA,Computer Science and Engineering,Oracle,Machine Learning Engineer,sai.chowdhury335@outlook.com,+91 8661457617,No,0,0.7374999999999999,73.75
ALU0297,Madhav Gupta,Madhav,Gupta,2021,B.Tech,Computer Science and Engineering,Accenture,DevOps Engineer,madhav.gupta297@outlook.com,+91 9193337732,Yes,1,0.725,72.5
ALU0999,Manoj Gupta,Manoj,Gupta,2025,B.Tech,Computer Engineering,Amazon,Cloud Engineer,manoj.gupta999@gmail.com,+91 7983590548,No,0,0.7189102564102565,71.89
ALU0683,Aditi Verma,Aditi,Verma,2022,B.E.,Computer Engineering,Infosys,Machine Learning Engineer,aditi.verma683@gmail.com,+91 7623071990,Yes,1,0.7057692307692307,70.58
ALU0169,Meera Patel,Meera,Patel,2023,MCA,Computer Engineering,Infosys,Machine Learning Engineer,meera.patel169@outlook.com,+91 9565153945,No,0,0.7057692307692307,70.58
ALU0706,Lakshmi Mishra,Lakshmi,Mishra,2018,B.Tech,Computer Science and Engineering,Cognizant,Senior Software Engineer,lakshmi.mishra706@gmail.com,+91 9023872904,Yes,1,0.6997448979591837,69.97
ALU0131,Siddharth Iyer,Siddharth,Iyer,2017,B.Tech,Computer Science and Engineering,Cognizant,Software Engineer,siddharth.iyer131@yahoo.com,+91 8021908455,No,0,0.6970238095238095,69.7
ALU0988,Pranav Verma,Pranav,Verma,2018,B.Tech,Computer Science and Engineering,Amazon,Software Engineer,pranav.verma988@gmail.com,+91 8447904938,Yes,1,0.6970238095238095,69.7
